1位,"",Dizzy✿,156693個
2位,"",☔️ハーピー狂,148409個
3位,"",EL☪,137309個
4位,"",幸喜   ,134013個
5位,"",❀おしよ✙ᐝ ,123578個
6位,"",te✿chi,119280個
7位,"",Lipton募集,116206個
8位,"",なおたん❂☪,109076個
9位,"",ゴーストライター,108469個
10位,"",勇✿くれーる,106992個
11位,"",️絶望えり,102227個
12位,"",絶望しちゃいやん,98064個
13位,"",むぅちゃん,97349個
14位,"",ゆいたん,93682個
15位,"",サンアミ可愛い,92371個
16位,"",まき,90514個
17位,"",ほしみ★祝SSS,89427個
18位,"",おやじ～ず,89071個
19位,"",朱雀,86531個
20位,"",放課後変態クラブ,85881個
21位,"",リリス＊BT中,85580個
22位,"",まとー,84952個
23位,"",let'sぷよ募,84687個
24位,"",魔王❤中国出張,83580個
25位,"",ゆき♡エーミール,83202個
26位,"",ゴリねこらん募集,81767個
27位,"",ポンちゃん☪,80966個
28位,"",ゆきママ,80136個
29位,"",Wみーちゃん✿,80077個
30位,"",キュア,79288個
