271位,"",20時迄貢献停止,49356個
272位,"",ﾌｧﾝｷｰ,49156個
273位,"",飴☪,48935個
274位,"",ゆずっこ,48878個
275位,"",ぱいぱい〇,48786個
276位,"",まーちゃん☂,48662個
277位,"",とし❂☪,48615個
278位,"",snake 激務,47869個
279位,"",朱伽&DanΣฅ,47816個
280位,"",❈ゆず❈ KFC,47804個
281位,"",かつ,47731個
282位,"",lunaqua,47485個
283位,"",紅茶花伝,47388個
284位,"",ソナポケマン,47244個
285位,"",(-3),47241個
286位,"",Xmasキャロル,47068個
287位,"",あおい✧ฺ,46700個
288位,"",みち❁ゆの感謝,46608個
289位,"",かんぢ☆,46605個
290位,"",つべイチ,46461個
291位,"",。,46384個
292位,"",ACE❂☪ ,46292個
293位,"",♬っぷ,46145個
294位,"",T-TAN-Y,46075個
295位,"",そーま✧ ×,46067個
296位,"",ゆず ,45829個
297位,"",カエサル×,45690個
298位,"",赤っ鼻まっしぐら,45558個
299位,"",神夷10,45462個
300位,"",葛城ミサト✞◎,45434個
