991位,"",オデ×,21058個
992位,"",YAICHI,21057個
993位,"",いっしー,21019個
994位,"",yui,20994個
995位,"",探測,20985個
996位,"",ニコニコ,20978個
997位,"",ゆうた,20975個
998位,"",600弱の人,20970個
999位,"",くりにゃんこฅ,20958個
1000位,"",もっち,20954個
1001位,"",ʚ拳タッキー仕事,20938個
1001位,"",ぶどう  ,20938個
1003位,"",ばんぶ〜,20909個
1004位,"",リョー,20890個
1005位,"",つむぎ☆イベ疾走,20846個
1006位,"",亮,20829個
1007位,"",のえる@エール○,20814個
1008位,"",そりももーみん,20795個
1009位,"",チコ,20783個
1010位,"",ピピ,20781個
1011位,"",そうたぱぱ✿,20771個
1012位,"",別天神,20770個
1013位,"",†鈍島銅牙†,20764個
1014位,"",ゆちゃん,20758個
1015位,"",☬ nacl ㅍ,20747個
1016位,"",ゆき,20746個
1017位,"",ルシどんin率↓,20728個
1018位,"",NANA,20727個
1019位,"",アシュ　○,20711個
1020位,"",ファントム×,20705個
