9987位,"",△▼*かげねこ,6499個
9992位,"",ラフォプロフ必読,6498個
9992位,"",かすみ,6498個
9992位,"",あ、溢れるゆず。,6498個
9995位,"",ゆたか,6497個
9995位,"",Green＊T,6497個
9995位,"",shouさん,6497個
9998位,"",まるいしNo7,6496個
9998位,"",★まるる★ △,6496個
10000位,"",ジョナスン,6495個
10000位,"",吟遊詩人,6495個
10000位,"",777♪,6495個
10000位,"",あるるぅ,6495個
10000位,"",かるたん,6495個
10000位,"",キッキー,6495個
10006位,"",あらま@姉,6494個
10006位,"",いざべら,6494個
10006位,"",暁美ほむほむ,6494個
10009位,"",ひろこ,6493個
10009位,"",mortal,6493個
10009位,"",ひろと,6493個
10009位,"",まっつん,6493個
10009位,"",あきえもん,6493個
10014位,"",レヌッサ,6492個
10014位,"",モリ     ,6492個
10014位,"",やま,6492個
10017位,"",ぽっぷは声でない,6491個
10017位,"",えむくろ,6491個
10017位,"",ココ,6491個
10020位,"",mi,6490個
