1位,"",☔️ハーピー狂,372537個
2位,"",幸喜   ,308680個
3位,"",EL☪,292311個
4位,"",Lipton募集,251652個
5位,"",ま✿,246426個
6位,"",むぅちゃん,232281個
7位,"",栄枯盛衰❂☪,221342個
8位,"",te✿chi,215552個
9位,"",️絶望えり,199712個
10位,"",❀おしよ✙ᐝ ,197758個
11位,"",let'sぷよ募,193556個
12位,"",リプトン募集中,189626個
13位,"",ギルラン【変態】,183883個
14位,"",ゆいたん,182548個
15位,"",ゴーストライター,180607個
16位,"",早乙女@募集中♪,179330個
17位,"",馬券師池田,178622個
18位,"",勇✿くれーる,175452個
19位,"",白キノコマン,173343個
20位,"",キヨねこらん募集,169948個
21位,"",ゆき♡エーミール,169110個
22位,"",ポンちゃん☪,168568個
23位,"",Wみーちゃん✿,166954個
24位,"",とら×,164415個
25位,"",ほしみ★祝SSS,162380個
26位,"",すず❂☪,160194個
27位,"",すたんどＵＰあき,159711個
28位,"",うちゃ,159486個
29位,"",リリス＊BT中,158340個
30位,"",ParU ,156560個
