61位,"",ダガー,121497個
62位,"",レイすたんどUP,121215個
63位,"",まゆ✿clair,119185個
64位,"",きみみ★愉快募集,118719個
65位,"",モカ✙アプデ済,118602個
66位,"",keyaki,118170個
67位,"",ぱっくん×,117859個
68位,"",ちび闇✧,115891個
69位,"",さな♡エーミール,115646個
70位,"",まとー×,115350個
71位,"",マツ✧ ,115310個
72位,"",かなめ,115251個
73位,"",国定,115086個
74位,"",銭形✧,114444個
75位,"",新茶✧ ×,114420個
76位,"",愛❂,114005個
77位,"",けいた,113170個
78位,"",チェルオ,111978個
79位,"",卓己,110675個
80位,"",まるお✧,110349個
81位,"",とこたと〆,109213個
82位,"",火ペンギン,109088個
83位,"",ごろちゃん,109065個
84位,"",ムー★愉快,108752個
85位,"",お琴☪,108291個
86位,"",もっぷ帝国代表,107989個
87位,"",昭希,107476個
88位,"",あつみ,106665個
89位,"",トレイン,106641個
90位,"",いっしー○,106492個
