1位,"",☔️ハーピー狂,478667個
2位,"",EL☪,389885個
3位,"",幸喜___,376025個
4位,"",Lipton募集,321989個
5位,"",栄枯盛衰❂☪,300060個
6位,"",むぅちゃん,285631個
7位,"",ま✿,281520個
8位,"",te✿chi,279817個
9位,"",リプトン募集中,248179個
10位,"",❀おしよ✙ᐝ_,244358個
11位,"",let'sぷよ募,243873個
12位,"",ゆいたん,240902個
13位,"",早乙女@募集中♪,239275個
14位,"",️絶望えり,239022個
15位,"",白キノコマン,236997個
16位,"",Wみーちゃん✿,234204個
17位,"",キヨねこらん募集,223228個
18位,"",ねこずき❤︎,221295個
19位,"",ほしみ★祝SSS,214478個
20位,"",ポンちゃん☪,214177個
21位,"",すず❂☪,213841個
22位,"",リリス＊BT中,210345個
23位,"",うちゃ,208448個
24位,"",勇✿くれーる,206655個
25位,"",✨悟空＊,204574個
26位,"",ParU_,204301個
27位,"",すたんどＵＰあき,202749個
28位,"",ルナちょむ,202693個
29位,"",のぞみ_○,202593個
30位,"",ゆき♡エーミール,201890個
