1位,"",☔️ハーピー狂,478667個
2位,"",幸喜___,376025個
3位,"",️絶望えり,239022個
4位,"",白キノコマン,236997個
5位,"",ルナちょむ,202693個
6位,"",ゴーストライター,194229個
7位,"",るるののஐ☔,182442個
8位,"",チェルオ,155833個
9位,"",TAKA,131121個
10位,"",リーク✨,130570個
11位,"",ばらっち(´ε｀,103545個
12位,"",ケチータ,86466個
13位,"",クオン,78425個
14位,"",mchiba×,73373個
15位,"",あいね,66931個
16位,"",アオ,57990個
17位,"",COCO,42928個
18位,"",一十三eri,41246個
19位,"",☆×8,35992個
20位,"",あくまーもん☔,32934個
21位,"",coa,25165個
22位,"",ペロシ,21660個
23位,"",chi-,21208個
24位,"",聖夜eri☔️,17327個
25位,"",allen,16615個
26位,"",ロン,15331個
27位,"",ぽむ,12365個
28位,"",☂けん☃_,11655個
29位,"",へまち,8812個
30位,"",さのば_,7968個
31位,"",はなまଳ,7229個
32位,"",HH_,6336個
33位,"",えります,6333個
34位,"",τ超多忙実習中,5779個
35位,"",くろにゃあ,5670個
36位,"",しゅみっと,5126個
37位,"",ねむい,5118個
38位,"",ゆりち,5059個
39位,"",未完,4211個
40位,"",ゆーし☔️仕事,2872個
41位,"",あるは,1558個
42位,"",Feim,0個
42位,"",さち,0個
42位,"",ひろぽん,0個
42位,"",きぃ,0個
42位,"",澪,0個
42位,"",こずえる☔,0個
