1位,"",☔️ハーピー狂,485597個
2位,"",幸喜___,381314個
3位,"",白キノコマン,241786個
4位,"",️絶望えり,241642個
5位,"",ルナちょむ,204915個
6位,"",ゴーストライター,195050個
7位,"",るるののஐ☔,182442個
8位,"",チェルオ,160297個
9位,"",TAKA,134036個
10位,"",リーク✨,133739個
11位,"",ばらっち(´ε｀,104337個
12位,"",ケチータ,88401個
13位,"",クオン,78425個
14位,"",mchiba×,73373個
15位,"",あいね,71418個
16位,"",アオ,59911個
17位,"",一十三eri,43299個
18位,"",COCO,42928個
19位,"",☆×8,35992個
20位,"",あくまーもん☔,34417個
21位,"",coa,25621個
22位,"",chi-,24518個
23位,"",ペロシ,21660個
24位,"",聖夜eri☔️,18932個
25位,"",allen,16615個
26位,"",ロン,15331個
27位,"",ぽむ,12365個
28位,"",☂けん☃_,11655個
29位,"",へまち,8812個
30位,"",さのば_,7968個
