,2015/11/12 21:24:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1101,Dizzy?
2,1071,Mumin谷??
3,978,トムソン??
4,948,Ra?ffine
5,905,☆☆ながれ星彡
6,867,上位目指す隊?
7,838,ばよえ?ん。
8,837,さんらいず??
9,795,†とわいらいと†
10,793,嵐山
11,781,早乙女学園?
12,768,さんせっと??
13,760,まるむすてぃ?ん
14,758,もっこすなぎさ！
15,752,えすぽらーず
16,745,?いちごぷよ隊?
17,735,かもみ～るかふぇ
18,712,tipo
19,710,谷口ぴーまん
20,684,赤い妖精
21,682,カーバンクル
22,662,たいようのほこら
23,662,からあげ流星群
24,662,?Ｃlair?
25,655,淡麗生!!
26,652,ぴんぽーん
27,650,Antenna
28,645,MYM318☆彡
29,625,ねこたらんど
30,624,ミッドガルド?
31,623,かおりワールド
32,618,だらゴロ・囚・
33,614,LovE?
34,609,ぷよビ～ッチ☆
35,605,いえろ～こんび♪
36,605,プリンシパル☆彡
37,604,一生を寝てい隊
38,601,ねこぽよ軍??
39,601,?怪盗スケルトン
40,599,にゃ?んだふる♪
41,599,Law@
42,599,V.I.P.
43,597,ももピーチ帝国
44,596,無課金こそ愉悦!
45,588,にないか
46,586,Lαvｉn&#039;υ?
47,585,☆命蓮寺☆
48,584,†魔導学校†
49,583,ぷよクエ楽しみ隊
50,582,Luxillia
51,581,ねこずき
52,579,Buzz?
53,578,ＢＢ団
54,578,★愉快な仲間達☆
55,571,やわらかギルド
56,567,ぷよろう会
57,566,★エーミール★
58,563,ぼっち同盟
59,563,賢者モード
60,562,チームかつをぶし
61,561,果物の缶詰
62,556,かわいいはせいぎ
63,551,?アンシェル?
64,550,ちょびぎるど
65,549,お笑い?研究府
66,549,自由都市ももにち
67,548,同じ穴のぷよら～
68,544,ぷよっとパニック
69,542,BestLuck
70,542,無KG板ギルド
71,540,佐久間上水
72,538,コンパイルクラブ
73,537,?KoB?
74,536,トウーンタウン
75,535,ウィッチ魔法学院
76,535,2chスレギルド
77,535,みなみけ
78,534,ブルーウィング
79,534,お腹@ばよ?支店
80,533,とれっきんぐ
81,532,Blackチョコ
82,532,ラフィ亭
83,532,ファンタビーチ
84,531,エランド
85,530,祝！ＳＳあひる組
86,529,陽だまりのねこ?
87,529,パンダ百匹！！
88,525,うさぎの巣?
89,524,let&#039;sぷよ！
90,521,遊戯都市第七地区
91,520,Ｋ２
92,516,六猫?おーき軍
93,513,Gunners!
94,513,猫好き仙人界
95,509,チームかわいい
96,508,ひろす
97,508,パーミテーション
98,508,みなとみらい
99,506,ジュビレーション
100,504,ねこのうにメロン
101,501,ギルド一ナツ
102,500,COLORS＊*
103,500,☆ネコカフェ☆
104,499,SPIRAL★彡
105,497,手製ぷよ
106,492,早起は三文のとく
107,490,???☆
108,489,まったり勢。
109,489,チームやどかり
110,489,ぷよく鉛筆?HB
111,486,AGILE
112,486,サークルフォイ
113,485,ぐみぷよ
