,2016/06/30 19:00:01,2016/06/30 19:01:01,2016/06/30 19:02:01,2016/06/30 20:00:01,2016/06/30 20:01:01,2016/06/30 20:02:01,2016/06/30 21:00:01,2016/06/30 21:01:01,2016/06/30 21:02:01
TARGET
Dizzy,1100,1100,1100,1120,1121,1121,1140,1141,1141
,20,20,20,20,20,20,20,20,20
,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
ALL
1位,1100,1100,1100,1120,1121,1121,1140,1141,1141,Dizzy
2位,1099,1099,1099,1113,1113,1113,1129,1130,1130,Mumin谷
3位,1023,1023,1024,1038,1038,1039,1054,1055,1055,さんらいず
4位,917,918,918,932,932,932,953,953,954,☆☆ながれ星彡
5位,913,914,914,931,931,931,950,950,951,トムソン
6位,869,869,869,885,886,886,905,905,906,嵐山
7位,851,851,851,869,869,869,889,889,889,上位目指す隊
8位,850,850,850,868,868,868,885,885,885,えすぽらーず
9位,844,844,844,865,866,866,881,881,881,早乙女学園
10位,836,836,837,855,855,855,874,874,875,ばよえ～ん。
11位,830,830,831,849,850,850,870,870,871,さんせっと
12位,830,830,830,848,849,849,868,869,869,赤い妖精
13位,823,823,824,839,839,839,856,856,857,まるむすてぃーん
14位,789,789,789,805,805,806,820,820,821,Lipton　
15位,769,769,769,781,781,782,799,799,799,Antenna
16位,767,767,767,780,780,780,799,799,799,†とわいらいと†
17位,763,764,764,779,779,779,794,795,795,Raffine
18位,752,753,753,769,769,769,784,784,785,RedbuII
19位,734,734,734,750,750,750,766,766,767,谷口ぴーまん
20位,726,727,727,743,744,744,761,762,762,カーバンクル
21位,714,714,715,734,734,734,755,756,757,いちごぷよ隊
22位,710,711,711,724,724,724,741,741,742,LovE
23位,706,707,708,724,724,724,739,740,740,☆命蓮寺☆
24位,701,701,701,716,717,717,730,731,731,プリンシパル☆彡
25位,694,694,695,711,711,711,728,729,729,ぴんぽーん
26位,693,693,694,708,708,708,726,726,726,かもみ～るかふぇ
27位,690,691,691,706,707,707,722,722,723,ＢＢ団
28位,689,689,689,706,706,707,721,721,722,からあげ流星群
29位,687,687,688,701,701,702,718,719,719,ファンタビーチ
30位,680,680,680,696,696,696,710,710,711,同じ穴のぷよら～
31位,679,679,679,694,694,695,710,710,710,だららんゴロゴロ
32位,676,676,676,691,691,692,706,707,707,ねこたらんど
33位,669,669,669,683,683,684,698,699,699,やわらかギルド
34位,669,669,669,682,682,683,697,698,698,ねこずき
35位,669,669,669,681,681,681,695,695,695,賢者モード
36位,668,669,669,679,679,680,692,692,693,とれっきんぐ
37位,666,666,666,678,678,678,692,692,693,★エーミール★
38位,662,663,663,676,676,677,692,692,693,ぷよビ～ッチ☆
39位,661,661,662,674,674,675,689,690,690,★愉快な仲間達☆
40位,660,660,660,673,673,674,689,689,689,Ｃlair
41位,658,658,658,669,669,669,683,683,684,ももにち！
42位,648,649,649,661,661,661,674,674,675,淡麗生!!
43位,643,644,644,657,657,657,674,674,674,Lαviｎ'υ
44位,639,639,639,655,655,655,674,674,674,にゃ～んだふる♪
45位,637,637,637,654,654,654,670,670,671,無課金こそ愉悦!
46位,636,636,636,649,649,649,664,664,664,遊戯都市第七地区
47位,635,635,635,648,648,649,664,664,664,ももピーチ帝国
48位,630,630,630,646,647,647,663,663,663,ぷよクエ楽しみ隊
49位,629,630,630,646,646,647,660,660,660,果物の缶詰
50位,629,629,629,643,643,644,658,658,659,うさぎの巣_
51位,627,627,628,642,643,643,658,658,658,にないか
52位,624,624,624,638,638,638,654,654,654,無KG板ギルド
53位,624,624,624,638,638,638,653,653,654,BestLuck
54位,623,623,624,636,637,637,652,652,652,コンパイルクラブ
55位,621,622,622,634,634,635,650,650,651,Buzz
56位,620,620,620,634,634,634,650,650,650,お笑い研究亭
57位,617,618,618,633,633,634,649,649,649,ぷよクエRUSH
58位,617,618,618,632,633,633,647,648,648,ねこぽよ軍
59位,617,617,618,630,630,630,646,647,647,ラフィ亭
60位,616,616,616,630,630,630,644,645,645,ちょびぎるど
61位,615,615,615,629,630,630,642,643,643,Law@
62位,615,615,615,629,629,630,642,642,643,たいようのほこら
63位,610,610,611,624,624,624,639,639,639,チームかつをぶし
64位,609,609,609,621,622,622,638,639,639,ぷよろう会
65位,609,609,609,621,621,621,635,635,635,かわいいはせいぎ
66位,609,609,609,619,620,620,634,635,635,Luxillia
67位,607,607,607,619,619,619,632,633,633,もち猫カルテット
68位,604,604,605,619,619,619,630,631,631,コスモツリー
69位,603,603,603,615,615,616,629,629,629,一生を寝てい隊
70位,598,598,598,611,611,612,628,628,628,ブルーウィング
71位,596,596,596,611,611,611,624,625,625,トウーンタウン
72位,595,595,596,610,610,610,623,623,623,_かおりワールド
73位,594,594,595,607,608,608,621,621,621,ぐみぷよ
74位,593,593,594,606,606,607,619,619,620,チームさかな
75位,591,591,592,605,605,605,619,619,619,みんなでぷよぷよ
